Plot_ID;Latitude;Longitude;Date;Vegtype;Slope;Aspect;Elevation;Cover_veg;Cover_bare;Cover_litter;Cover_herb;Cover_bryo;Cover_lichens;Cover_shrubs;Cover_trees
D117_C40;50.832937;4.672137;11.07.2019;Grassland;0;0;68.76;90;4;4;90;0;0;0;0
D117_C41;50.831346;4.66759;11.07.2019;Grassland;0;0;72.4;99;1;20;99;2;0;0;0
D117_C42;50.822748;4.664529;11.07.2019;Forest;0;0;37.45;90;10;80;60;2;0;40;60
D117_C43;50.839074;4.700963;11.07.2019;Forest;0;0;57.37;85;1;98;75;1;0;70;40
D117_C44;50.819989;4.701799;15.07.2019;Grassland;0;0;72.39;99;2;4;99;2;0;0;0
D117_C45;50.811161;4.718851;15.07.2019;Forest;0;0;91.91;85;2;85;80;10;0;0;40
D117_C46;50.81562;4.736075;15.07.2019;Forest;0;0;88.62;15;2;97;15;1;0;0;0
D117_C47;50.814507;4.746797;15.07.2019;Forest;0;0;92.09;60;1;97;4;2;0;4;50
D117_C48;50.802374;4.716586;15.07.2019;Forest;0;0;61.78;95;4;85;70;15;0;22;80
D117_C49;50.825279;4.695435;15.07.2019;Grassland;0;0;60.28;95;4;2;95;0;0;0;0
D117_C50;50.805746;4.718333;16.07.2019;Forest;0;0;78.47;65;1;97;65;1;0;0;0
D117_C51;50.8059;4.719135;16.07.2019;Forest;0;0;78.42;80;3;97;80;0;0;0;0
D117_C52;50.807634;4.739068;16.07.2019;Forest;0;0;80.73;50;1;95;40;2;0;10;0
D117_C53;50.797836;4.698912;16.07.2019;Forest;0;0;77.01;80;1;95;30;2;0;5;70
D117_C54;50.796528;4.67689;16.07.2019;Forest;0;0;87.96;80;1;95;70;1;0;4;30
D117_C55;50.8065;4.68485;16.07.2019;Forest;0;0;72.94;85;1;97;80;1;0;1;20
D117_C56;50.856026;4.771491;17.07.2019;Forest;0;0;39.62;85;5;85;70;0;0;7.5;40
D117_C57;50.857218;4.771029;17.07.2019;Forest;0;0;39.54;90;7.5;60;70;0;1;30;50
D117_C58;50.855191;4.770241;17.07.2019;Grassland;0;0;41.07;100;0;1;100;0;0;0;0
D117_C59;50.85566;4.770766;17.07.2019;Grassland;0;0;39.69;100;0;2;100;0;0;0;0
D117_C60;50.856489;4.766147;17.07.2019;Grassland;0;0;37.92;100;0;5;100;0;0;0;0
D117_C61;50.879107;4.805354;18.07.2019;Grassland;5;276;94.99;80;10;10;80;0;0;0;0
D117_C62;50.876593;4.742595;18.07.2019;Grassland;0;0;49.76;100;0;0;100;5;0;0;0
D117_C63;50.818252;4.788819;18.07.2019;Grassland;0;0;73.48;100;0;2;100;2;0;0;0
D117_C64;50.806617;4.648343;18.07.2019;Grassland;0;0;29.67;100;0;70;100;0;0;0;0
D117_C65;50.811965;4.635548;18.07.2019;Forest;0;0;28.16;100;0;80;90;2;0;50;60
D132_N1C;50.98198;5.6337;22/08/2019;shrubland;0;0;89.29;90;2;30;90;5;0;0;0
D132_A1C;51.00818;5.61656;23/08/2019;shrubland;0;0;88.74;75;1;25;75;0.5;0.5;4;0
D132_C01;50.99619;5.56356;22/08/2019;shrubland;0;0;80.09;75;10;25;75;1;0;0;0
