"X","Plot_ID","Latitude","Longitude","Date","Vegtype","Slope","Aspect","Elevation","Cover_veg","Cover_bare","Cover_litter","Cover_herb","Cover_bryo","Cover_lichens","Cover_shrubs","Cover_trees"
94,"D132_C23",50.9751327,5.6522905,"29/08/2019","Shrubland",18,170,68.26,50,1,30,"50",10,0,0,0
95,"D132_C24",50.9761449,5.6525218,"29/08/2019","forest",13,175,76.64,80,0,90,"40",2,0,4,40
96,"D132_C25",50.97329,5.6497,"30/08/2019","Shrubland",26,350,65.14,90,2,2,"90",10,1,0,0
97,"D132_C26",50.97306,5.64971,"30/08/2019","Shrubland",30,350,77.37,90,2,5,"90",15,1,5,0
98,"D132_C27",50.98915,5.55036,"30/08/2019","forest",0,0,178.96,70,1,4,"4",95,0,35,40
99,"D132_C28",51.05818,5.58161,"30/08/2019","forest",0,0,84.21,80,1,95,"1",1,0,50,70
100,"D132_C29",51.06345,5.58946,"30/08/2019","Shrubland",0,0,81.44,95,40,40,"50",20,0,0,70
101,"D132_C30",51.00423,5.68952,"43505","forest",34,345,65.08,90,2,4,"30",90,0,4,20
102,"D132_C31",51.0066,5.67038,"43505","forest",28,150,50.7,30,40,30,"12.5",30,0,1,30
103,"D132_C32",50.95487,5.53975,"43505","forest",0,0,88.89,70,1,70,"50",50,0,10,40
104,"D132_C33",50.95236,5.53984,"43505","Shrubland",0,0,89.02,95,2,5,"95",60,0,1,0
105,"D132_C34",50.95905,5.53329,"43505","forest",0,0,86.86,80,1,40,"30",60,0,30,50
106,"D132_C35",50.92041,5.55596,"43533","forest",10,175,75.84,40,4,4,"20",70,0,4,4
107,"D132_C36",50.92067,5.55138,"43533","Shrubland",8,185,71.89,80,20,20,"70",10,0,0,0
108,"D132_C37",50.92249,5.55413,"43533","forest",15,0,75.75,95,2,80,"15",15,0,15,70
109,"D132_C38",50.92171,5.55534,"43533","forest",0,0,85.43,80,0,95,"60",1,0,4,70
110,"D132_C39",50.91333,5.63826,"43533","forest",17,340,82.81,80,0,90,"10",10,0,10,70
111,"D132_C40",50.91243,5.6401,"43533","forest",0,0,71.51,95,0,80,"80",40,0,10,70
112,"D132_C41",50.94014,5.64891,"43533","Shrubland",0,0,52.28,50,0,50,"40",40,2,0,0
113,"D132_C42",50.94044,5.6433,"43533","Shrubland",0,0,56.67,99,0,10,"100",0,0,1,0
114,"D132_C43",50.94077,5.64906,"43533","forest",0,0,52.46,70,10,70,"30",20,0,2,70
115,"D132_C44",50.94304,5.64205,"43564","Shrubland",19,170,71.02,80,0,30,"60",0,0,2,0
116,"D132_C45",50.943,5.6517,"43564","forest",0,0,51.02,70,10,70,"30",90,0,20,40
117,"D132_C46",50.95038,5.65692,"43564","forest",0,0,50.29,80,10,90,"1",2,0,4,80
118,"D132_C47",50.95206,5.45463,"43564","Shrubland",16,170,52.06,80,20,10,"80",0,0,0,0
119,"D132_C48",50.95224,5.45458,"43564","Shrubland",21,200,51.53,80,20,40,"80",2,0,0,0
120,"D132_C49",50.95262,5.45537,"43564","Shrubland",0,0,49.83,90,4,10,"90",1,0,0,0
121,"D132_C50",50.95726,5.46474,"43564","Shrubland",21,170,54.23,50,40,4,"50",0,2,0,0
122,"D132_C51",50.95712,5.46488,"43564","Shrubland",7,330,53.94,95,4,4,"70",10,0,60,0
123,"D132_C52",51.01168,5.55592,"43747","forest",19,180,99.56,80,2,70,"20",20,0,10,70
124,"D132_C53",51.01114,5.55561,"43747","forest",0,0,79.8,60,2,80,"40",20,0,20,30
125,"D132_C54",51.01007,5.55456,"43747","forest",0,0,78.48,50,0,40,"2",30,0,0,50
126,"D132_C55",51.00867,5.555416,"43747","forest",0,0,77.26,40,0,80,"40",10,0,2,25
127,"D132_C56",51.03392,5.6033,"43747","Shrubland",0,0,64.33,80,20,20,"70",0,0,0,0
128,"D132_C57",51.03422,5.60387,"43747","Shrubland",0,0,63.18,70,10,50,"70",20,0,0,0
129,"D132_C58",50.98046,5.45934,"17/09/2019","Shrubland",11,180,77.29,40,20,50,"50",4,1,10,0
130,"D132_C59",50.97926,5.45989,"17/09/2019","Shrubland",19,0,74.91,10,20,30,"10",30,1,0,0
131,"D132_C60",50.98532,5.48298,"17/09/2019","Shrubland",20,190,106.96,80,10,40,"80",0,0,0,0
132,"D132_C61",50.98587,5.48294,"17/09/2019","Shrubland",18,10,108.22,30,70,10,"30",4,0,0,0
133,"D132_C62",50.92592,5.62686,"18/09/2019","forest",14,340,82.59,80,0,70,"10",30,0,4,70
134,"D132_C63",50.92613,5.62668,"18/09/2019","forest",15,170,82.22,60,1,50,"30",70,0,10,50
135,"D132_C64",50.98449,5.59663,"18/09/2019","forest",0,0,88,70,2,30,"20",90,0,10,45
136,"D132_C65",50.9844,5.59517,"18/09/2019","forest",0,0,87.49,80,0,60,"10",4,0,60,10
137,"D132_C66",51.06841,5.51252,"19/09/2019","forest",8,190,78.31,50,1,99,"30",1,0,2,30
138,"D132_C67",51.06879,5.51205,"19/09/2019","forest",0,0,76.88,70,1,99,"10",1,0,4,70
139,"D132_C68",51.0687,5.51042,"19/09/2019","forest",8,14,77.73,80,0,100,"4",4,0,2,70
140,"D132_C69",51.06873,5.51008,"19/09/2019","forest",22,155,80.22,90,1,99,"10",1,0,4,80
141,"D132_C70",51.06319,5.61537,"19/09/2019","Shrubland",12,260,81.7,30,0,70,"2",70,2,2,0
142,"D132_C71",51.06405,5.61587,"19/09/2019","Shrubland",10,190,81.92,10,15,70,"4",4,0,2,0
143,"D132_C72",51.02595,5.68156,"19/09/2019","forest",7,0,56.48,90,0,100,"30",4,0,0,80
144,"D132_C73",51.0254,5.68245,"19/08/2019","forest",0,0,58.62,90,0,100,"15",4,0,4,70
